x,y,t1,t2
-0.66246367,0.26140356,1.5590361,2.41344
1.7311122,0.91304725,0.27796006,0.414786
-0.41439897,1.0052482,0.9657973,1.992017
-0.3178328,0.062374473,1.5396739,2.8162644
-0.82313627,0.71754646,1.4313976,1.9864488
-0.25137708,1.5951717,1.0960811,1.2620322
1.8225241,0.6352387,0.070138425,0.53048605
-0.22810388,1.3533877,0.9232778,1.6289843
-0.589133,-0.18667126,2.1917875,2.51331
1.0519378,1.4687613,0.505889,0.88677293
-0.24063861,-0.11250323,2.1413364,2.8751667
-0.34067827,0.19548732,1.2475262,2.7462418
-0.74573034,1.0549834,1.3176101,1.7370088
-1.9883898,0.1827878,2.9931152,0.11361514
0.6521999,1.5327034,0.58192044,1.1731253
-0.1604259,0.14045191,0.9585,2.9279656
1.0207696,1.5104427,0.5526381,0.84770715
1.7303001,0.9980679,0.47337446,0.09964977
-0.11383587,0.18837118,0.65385896,2.9210498
-0.7532627,-0.22986335,2.2717147,2.3321183
-0.8325323,1.6580098,1.653407,0.765475
-0.62416613,1.8972555,1.8365511,0.10415209
1.2718785,1.3530016,0.43579194,0.76100373
-0.5019312,-0.39453954,2.5618713,2.4917877
-0.08777851,1.4510652,0.874156,1.5141183
-0.0049790144,-0.007754624,2.575416,3.1323771
-1.2545307,0.07017034,2.1942174,1.7829998
-1.8607895,0.3668376,2.6239939,0.6459078
-0.89027065,1.75617,1.8635049,0.3529493
1.2094501,1.4098934,0.48209918,0.7593488
-0.8787591,-0.21616596,2.2815394,2.2025084
-0.09596002,1.0377463,0.6403312,2.045345
-1.5468518,0.034354746,2.4331195,1.3725346
-0.9714163,0.5868505,1.6307718,1.9347572
-0.036708772,-0.050604403,2.5452816,3.0790658
1.1494749,1.3294611,0.36030367,0.99514705
-0.23782551,-0.12462628,2.188135,2.8722787
-0.053875387,-0.17649072,2.9377148,2.9567993
-0.80222785,1.820607,1.8834077,0.2048591
-0.8128034,1.7330164,1.7152978,0.58809775
-0.0033774376,0.17489913,0.10688618,2.966437
-1.8613892,0.73158395,2.7651668,0.0038830761
-1.2893598,0.927701,1.8648056,1.30618
-0.30344507,1.7958982,1.3123043,0.85175353
-1.5152137,1.1436045,2.1748557,0.64040816
-0.74378896,-0.14121395,2.1466367,2.3651607
-0.76148343,-0.55843365,2.6952848,2.1581347
1.8428757,0.55402774,0.016123839,0.55182564
-1.1482354,-0.18920213,2.3551185,1.8995662
1.4713082,1.186372,0.34544322,0.6663012
-0.17341828,-0.4761846,3.048522,2.629227
0.16149479,1.6565547,0.88588965,1.1754508
0.95102066,1.0733218,0.07445874,1.5425626
1.6594068,1.0577145,0.38789415,0.35915205
-0.9024337,0.8475137,1.4842461,1.8066437
-0.35876006,0.51533806,0.9275077,2.5028718
-0.07501066,0.1245276,0.61490536,2.99609
-1.849653,0.72006184,2.6472628,0.2461706
-0.5681502,1.2391798,1.1798497,1.6416749
-1.0515356,0.40778047,1.7999773,1.9433489
-1.3361473,0.16372555,2.1872213,1.6648873
-0.30615938,0.74353755,0.8043597,2.31408
1.7603493,0.7110771,0.06401168,0.63977486
-0.017668545,1.8398333,1.1775792,0.80564046
0.78532267,1.8175597,1.0212793,0.2833376
-0.6720493,0.9430595,1.2366642,1.9065642
0.40375274,1.4135182,0.5474763,1.4901841
-1.4731112,-0.38922825,2.6952522,1.4093181
-1.0394264,1.0907731,1.6144522,1.4352854
-0.56396806,-0.01799047,1.8886963,2.5695708
-0.20420235,-0.5272751,3.0587273,2.5683398
-1.1887112,-0.90204364,3.0621316,1.4571937
1.5394406,0.99277073,0.1597162,0.8261176
-1.3664029,-0.39154562,2.6403599,1.5606138
1.1058018,1.6260269,0.79003775,0.36707664
1.935734,0.43953738,0.100763366,0.24503134
-0.5430043,0.43311828,1.2521812,2.4322305
-1.5372682,1.2781572,2.4200335,0.055870272
-1.7994838,0.80391276,2.550631,0.34163338
-0.24011385,1.7696841,1.2387139,0.9338814
-0.52112556,1.5282423,1.268237,1.2623819
1.9172599,0.52751815,0.16124232,0.21451126
-0.7313564,1.1935213,1.324999,1.5911102
-0.33804536,0.87758195,0.85722303,2.1625142
0.9367455,1.1550447,0.15698792,1.4647876
-1.7201302,-0.4865082,2.9521852,0.9300811
-0.58384633,-0.76273406,2.9892304,2.139666
0.076729596,0.56379104,0.15321401,2.564635
-0.45497113,1.7559309,1.3895352,0.8695821
-1.9508002,0.32279497,2.8268888,0.30144334
-1.1549333,1.1454638,1.7393506,1.2419207
-0.91144216,-0.56581527,2.6925218,2.0092757
-0.94344234,-0.23763537,2.3255725,2.1255372
-0.3907917,1.5798812,1.1930596,1.2404493
0.058737397,0.7017853,0.27633226,2.4219232
-0.2656042,-0.41289878,2.8179743,2.6455743
0.3868214,1.3078107,0.4627907,1.6408538
1.2850311,1.3676603,0.4634884,0.70609784
-0.13646752,0.9790703,0.6554847,2.1076083
0.2401985,1.4180381,0.63473815,1.536526
-0.53854924,0.11649579,1.6368768,2.5833678
1.5677614,1.142148,0.3833999,0.49242544
-0.19170946,0.42582783,0.65869534,2.6702492
-0.1895104,0.1556372,1.00615,2.8957453
-1.2580116,0.14905447,2.1388083,1.7697
-0.9368451,1.3165956,1.5591034,1.2602789
-1.1827797,1.1415405,1.7678784,1.2121134
-0.97108316,0.81168354,1.5597593,1.771219
1.4048847,1.2219207,0.34211144,0.7474927
-1.9546075,0.30416986,2.8392031,0.2960218
-0.016779266,0.0020444393,1.4580035,3.124689
-1.3560224,0.26885813,2.1382263,1.6152704
0.14338571,0.75863814,0.20952864,2.3489342
0.8935425,1.4367007,0.45194834,1.1249034
-0.22211522,1.5529683,1.0437685,1.3381813
-0.2723378,0.032952666,1.5879782,2.866401
-0.16259643,-0.018645346,1.7668928,2.9777474
-1.8191749,0.6050005,2.531672,0.577717
-1.5664146,1.1567582,2.275305,0.4604066
-0.36167395,0.98878753,0.9050534,2.0328033
-0.36973274,-0.12354982,2.0894608,2.7492518
-0.39167967,1.3570402,1.0651321,1.573311
-1.4814655,1.3426052,2.3794794,0.05169152
-1.8935115,0.58408517,2.7064517,0.27186963
-0.99168503,1.2427218,1.5924459,1.3037347
