x,y,t1,t2,t3
-0.66246367,0.26140356,1.5590361,2.41344,0.27796006
1.1042706,1.384958,0.414786,0.9657973,1.992017
-0.3178328,0.062374473,1.5396739,2.8162644,1.4313976
-1.4020432,0.97388154,1.9864488,1.0960811,1.2620322
1.8225241,0.6352387,0.070138425,0.53048605,0.9232778
-0.83624375,0.370153,1.6289843,2.1917875,2.51331
1.0519378,1.4687613,0.505889,0.88677293,2.1413364
-1.5208266,-0.5678245,2.8751667,1.2475262,2.7462418
-0.74573034,1.0549834,1.3176101,1.7370088,2.9931152
1.7612634,0.75416756,0.11361514,0.58192044,1.1731253
-0.1604259,0.14045191,0.9585,2.9279656,0.5526381
0.9088316,1.7187481,0.84770715,0.47337446,0.09964977
-0.11383587,0.18837118,0.65385896,2.9210498,2.2717147
-1.3544083,-0.023337603,2.3321183,1.653407,0.765475
-0.62416613,1.8972555,1.8365511,0.10415209,0.43579194
-0.2594691,0.5093575,0.76100373,2.5618713,2.4917877
-0.08777851,1.4510652,0.874156,1.5141183,2.575416
-0.42364806,-0.8080162,3.1323771,2.1942174,1.7829998
-1.8607895,0.3668376,2.6239939,0.6459078,1.8635049
1.6094991,1.0869958,0.3529493,0.48209918,0.7593488
-0.8787591,-0.21616596,2.2815394,2.2025084,0.6403312
-0.6887339,-0.083265185,2.045345,2.4331195,1.3725346
-0.9714163,0.5868505,1.6307718,1.9347572,2.5452816
-1.954037,-0.23090947,3.0790658,0.36030367,0.99514705
-0.23782551,-0.12462628,2.188135,2.8722787,2.9377148
-0.855504,-0.8080989,2.9567993,1.8834077,0.2048591
-0.8128034,1.7330164,1.7152978,0.58809775,0.10688618
-0.13300258,-0.34977347,2.966437,2.7651668,0.0038830761
-1.2893598,0.927701,1.8648056,1.30618,1.3123043
-0.33473194,0.8671668,0.85175353,2.1748557,0.64040816
-0.74378896,-0.14121395,2.1466367,2.3651607,2.6952848
-1.121644,1.6557943,2.1581347,0.016123839,0.55182564
-1.1482354,-0.18920213,2.3551185,1.8995662,0.34544322
-0.054040074,0.07573354,0.6663012,3.048522,2.629227
0.16149479,1.6565547,0.88588965,1.1754508,0.07445874
-0.32372642,1.9356178,1.5425626,0.38789415,0.35915205
-0.9024337,0.8475137,1.4842461,1.8066437,0.9275077
-1.8025753,0.6199823,2.5028718,0.61490536,2.99609
-1.849653,0.72006184,2.6472628,0.2461706,1.1798497
-1.0261381,0.70191205,1.6416749,1.7999773,1.9433489
-1.3361473,0.16372555,2.1872213,1.6648873,0.8043597
-1.3991289,1.4277053,2.31408,0.06401168,0.63977486
-0.017668545,1.8398333,1.1775792,0.80564046,1.0212793
1.0109004,1.278272,0.2833376,1.2366642,1.9065642
0.40375274,1.4135182,0.5474763,1.4901841,2.6952522
-0.8322896,1.1045406,1.4093181,1.6144522,1.4352854
-0.56396806,-0.01799047,1.8886963,2.5695708,3.0587273
-0.045702696,-0.06497687,2.5683398,3.0621316,1.4571937
1.5394406,0.99277073,0.1597162,0.8261176,2.6403599
-0.69299406,1.7109635,1.5606138,0.79003775,0.36707664
1.935734,0.43953738,0.100763366,0.24503134,1.2521812
-0.6193582,-0.33888352,2.4322305,2.4200335,0.055870272
