x,y,z,t1,t2,t3,t4
-0.09819356,0.1392036,0.21876541,1.5590361,2.41344,0.031234583,0.5927298
-0.0052837324,0.23303747,0.122377604,0.9657973,1.992017,0.12762241,0.9929762
-0.109575674,0.20666191,0.15626559,1.4313976,1.9864488,0.09373443,0.7339375
0.37313277,0.102293916,0.16946676,0.070138425,0.53048605,0.08053322,0.79509616
-0.1465541,0.053329527,0.20135292,2.1917875,2.51331,0.04864707,0.6713943
-0.09010444,0.067285456,0.14469603,2.1413364,2.8751667,0.10530397,0.9813057
-0.086810574,0.2550594,0.011342853,1.3176101,1.7370088,0.23865715,0.54253465
0.18137084,0.28486842,0.166776,0.58192044,1.1731253,0.083224,1.0115931
0.23822969,0.2790599,0.20383686,0.5526381,0.84770715,0.04616314,0.5402071
0.062298875,0.089081034,0.0664538,0.65385896,2.9210498,0.1835462,0.9122852
-0.13313155,0.34836045,0.09969783,1.653407,0.765475,0.15030217,0.54095745
0.28143534,0.24516308,0.044287443,0.43579194,0.76100373,0.20571256,0.9388967
0.05099764,0.29436,0.04325272,0.874156,1.5141183,0.20674728,1.0456617
-0.24656117,0.091714114,0.039541647,2.1942174,1.7829998,0.21045835,0.6312501
-0.16239527,0.35917208,0.20317033,1.8635049,0.3529493,0.046829663,0.6501569
-0.19705357,0.043362822,0.1910823,2.2815394,2.2025084,0.0589177,0.8644897
-0.3079634,0.070220694,0.115418226,2.4331195,1.3725346,0.13458179,0.84605837
-0.088247605,0.048568763,0.21247482,2.5452816,3.0790658,0.03752517,0.68945664
-0.09356049,0.062848255,0.015575126,2.188135,2.8722787,0.23442487,1.0163987
-0.15108867,0.3682444,0.1089609,1.8834077,0.2048591,0.1410391,0.62161505
0.0989227,0.036903113,0.028756827,0.10688618,2.966437,0.22124317,0.524246
-0.22238316,0.2348641,0.13974735,1.8648056,1.30618,0.110252656,0.66555774
-0.2840809,0.25384435,0.076009035,2.1748557,0.64040816,0.17399096,0.91779226
-0.20442718,-0.04060126,0.23876822,2.6952848,2.1581347,0.011231771,0.6155697
-0.24286987,0.042406388,0.21361008,2.3551185,1.8995662,0.036389917,0.634649
-0.12557992,-0.062134046,0.17232302,3.048522,2.629227,0.07767698,0.7195073
0.242376,0.16843727,0.21036705,0.07445874,1.5425626,0.03963293,0.58345747
-0.12672086,0.22675273,0.16914365,1.4842461,1.8066437,0.08085636,0.94074404
0.07043122,0.07636723,0.037764013,0.61490536,2.99609,0.21223599,0.56462723
-0.047116168,0.27833188,0.102491885,1.1798497,1.6416749,0.14750813,0.8474903
-0.25823426,0.10615386,0.17855147,2.1872213,1.6648873,0.07144855,0.90927875
0.36384758,0.11305838,0.15003958,0.06401168,0.63977486,0.09996042,0.6578722
0.17002591,0.35791165,0.14552581,1.0212793,0.2833376,0.10447418,0.8413595
0.14594698,0.26408112,0.034097895,0.5474763,1.4901841,0.2159021,0.75848514
-0.16027816,0.2635207,0.09571423,1.6144522,1.4352854,0.15428577,0.95186055
-0.1302872,-0.070814185,0.0060703754,3.0587273,2.5683398,0.24392962,0.7664644
0.3296433,0.16481943,0.03829138,0.1597162,0.8261176,0.21170862,0.78370106
0.23625211,0.314942,0.23230225,0.79003775,0.36707664,0.017697753,0.5644373
-0.050125457,0.15993473,0.055123076,1.2521812,2.4322305,0.19487692,0.5329105
-0.3529631,0.17630287,0.14536923,2.550631,0.34163338,0.10463076,0.6792457
-0.048372418,0.32469407,0.227682,1.268237,1.2623819,0.022318006,0.55935067
-0.08537047,0.27602255,0.17451298,1.324999,1.5911102,0.07548701,0.8840178
0.23928207,0.1888911,0.014469668,0.15698792,1.4647876,0.23553033,0.6786123
-0.18641846,-0.099232756,0.2282953,2.9892304,2.139666,0.021704689,0.951038
-0.05021869,0.36175135,0.024041608,1.3895352,0.8695821,0.22595839,0.57383937
-0.19001573,0.27040237,0.03430648,1.7393506,1.2419207,0.21569352,0.85847807
-0.21002889,0.037197165,0.14885697,2.3255725,2.1255372,0.10114303,0.73034036
0.10501684,0.13255067,0.02472262,0.27633226,2.4219232,0.22527738,0.96452785
0.1475042,0.24081632,0.20459208,0.4627907,1.6408538,0.045407906,0.6412818
0.058805116,0.20781487,0.19150957,0.6554847,2.1076083,0.058490418,0.77968645
-0.08738561,0.11725611,0.2107104,1.6368768,2.5833678,0.039289594,0.6056697
0.05032273,0.12508272,0.1631358,0.65869534,2.6702492,0.086864196,1.006223
-0.24249744,0.10665537,0.12089327,2.1388083,1.7697,0.12910672,0.73364526
-0.19699785,0.26929528,0.12084317,1.7678784,1.2121134,0.12915683,0.818802
0.3049375,0.21683581,0.023100868,0.34211144,0.7474927,0.22689913,0.57293576
0.008738518,0.099671215,0.07665156,1.4580035,3.124689,0.17334844,0.79281056
0.11932076,0.1345956,0.20547369,0.20952864,2.3489342,0.04452631,0.7110827
0.016979365,0.31937584,0.11868742,1.0437685,1.3381813,0.1313126,1.0013323
-0.04387364,0.09528665,0.0465945,1.7668928,2.9777474,0.2034055,0.61988497
-0.29972816,0.2497067,0.17085901,2.275305,0.4604066,0.079140976,0.86239934
-0.10503196,0.06831573,0.15862992,2.0894608,2.7492518,0.09137009,0.78581727
-0.2945577,0.27043596,0.03324233,2.3794794,0.05169152,0.21675767,0.5689104
-0.15091754,0.28638482,0.18320075,1.5924459,1.3037347,0.066799246,0.82000047
-0.34096497,-0.044536512,0.19124329,2.8697174,1.1116219,0.05875671,0.6885746
0.15073563,0.115954295,0.17763165,0.013904136,2.2798443,0.07236835,0.6106889
0.04659696,0.1547034,0.056451157,0.6658583,2.4739354,0.19354884,0.9863349
-0.2847053,0.20373206,0.15353379,2.1405606,1.0462137,0.09646622,0.8627416
-0.21824428,-0.07939027,0.17677745,2.8620455,1.9978837,0.073222555,0.6623322
0.18723194,0.15804237,0.1873419,0.08565706,1.9101638,0.0626581,0.5519842
-0.38586563,-0.0044125197,0.1336514,2.9481907,0.5507036,0.11634861,0.860402
-0.09267589,0.37646526,0.2169986,1.6208394,0.5138362,0.033001393,0.99407387
-0.06502731,0.09187667,0.16022888,1.8265828,2.8739676,0.08977112,0.8625126
-0.048521467,0.29644653,0.19308531,1.2115927,1.5009413,0.056914695,0.873939
-0.2532419,0.15263797,0.14698827,2.0674286,1.5383931,0.103011735,0.62401724
-0.37070745,0.12889105,0.070840135,2.6570723,0.4014577,0.17915986,0.6973672
0.038494263,0.2502679,0.18233484,0.8129374,1.8529822,0.06766516,0.845718
-0.17401397,0.35166276,0.10002017,1.8792707,0.40449664,0.14997983,0.8969062
-0.2823338,0.1414953,0.21837452,2.1925662,1.3730665,0.031625487,0.7450408
-0.27966493,0.21784964,0.07445027,2.1163461,0.9976487,0.17554973,0.9597468
0.07882067,0.27861357,0.07038012,0.75060254,1.5862873,0.17961988,0.8059175
-0.17474341,0.19962092,0.21433774,1.7020073,1.7669345,0.03566227,0.8059726
-0.10093579,0.026738044,0.04946989,2.6585255,2.9862626,0.20053011,0.8204801
-0.31731397,0.19028051,0.2194426,2.3043807,0.8066359,0.030557394,0.5602714
-0.12431765,-0.08094173,0.20294806,3.1378381,2.5679212,0.04705195,0.88782525
-0.0927296,0.037433058,0.015072614,2.757011,3.1409876,0.23492739,0.98822826
-0.0038021768,0.35251594,0.021474138,1.2106768,1.0195385,0.22852586,0.93210524
0.068718955,0.07886239,0.062020972,0.6255241,2.9829693,0.18797903,0.9281143
0.07912803,0.21464318,0.1620675,0.58625835,2.0214574,0.087932505,0.98995686
-0.07223529,0.19163232,0.098685384,1.2881464,2.182327,0.15131462,0.8967855
-0.018776607,0.18072028,0.2038165,1.0369965,2.3366716,0.04618348,0.8445269
0.34791386,0.19733015,0.21636668,0.5080083,0.021146728,0.033633307,0.992081
-0.08524302,0.05555675,0.023865446,2.420653,3.0445423,0.22613455,0.55159944
0.18314822,0.26512071,0.19793189,0.49883607,1.316983,0.05206812,0.96719074
0.28793648,0.23261175,0.23593098,0.38326207,0.80440253,0.014069032,0.63676274
-0.11353782,-0.011314671,0.034099475,2.862741,2.8569016,0.21590053,0.9875406
-0.32795948,-0.082476795,0.06719975,2.9675274,1.1685736,0.18280025,1.0186433
-0.049723696,0.086761534,0.057760447,2.0904453,3.1410844,0.19223955,0.94814533
-0.016269263,0.18278149,0.106211215,1.02103,2.3245077,0.14378878,0.72287595
0.22277705,0.30535656,0.2123377,0.685323,0.6893965,0.037662297,0.9611521
-0.31338367,-0.011296022,0.1894423,2.6875246,1.3920199,0.06055768,0.98774433
-0.27615517,-0.00097192184,0.17665625,2.5753033,1.68756,0.07334376,1.0260043
