x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6
-0.2613887,0.311482,0.11542049,-0.58699334,-1.2787888,-1.3801149,-0.6298125,2.9145234,-3.6459782,-8.694202,0.71047556,1.8915904
0.13578513,0.061832294,0.07686968,0.6650251,0.8071764,1.9795705,-0.66100717,3.6194656,-1.7556221,-3.2806973,0.8769494,-0.17670012
-0.15748271,-0.1917255,-0.08709981,0.89832795,-0.17582573,-1.2674963,-3.0285919,-0.38064635,-2.5883741,-4.511964,2.2770185,3.3685873
-0.027956996,-0.19481441,0.18659575,0.42324793,-0.61670864,1.6604415,-2.3265495,0.24285579,-0.5921111,-0.21955776,1.0704625,4.0285606
0.18177018,-0.048029304,-0.4063718,2.4333956,0.45293728,0.43173894,-1.0187764,1.7307684,0.8038597,-9.731568,0.21996623,-0.42860293
0.12147117,0.0048642494,0.3465143,0.6669236,-0.08106092,0.30312106,-1.5973427,3.814943,-3.1958113,-7.2030296,0.08126861,-3.4701169
0.14956836,0.120737284,-0.08022343,-3.0525773,-1.449123,1.401102,-2.0881534,3.8028405,-0.37843585,-2.0900583,1.5890878,-1.5836122
0.24372233,0.059353728,0.15456086,1.2889613,-1.3791233,-0.50986737,-0.18270493,-1.1267308,-3.3873093,-7.5016747,2.7499037,3.307607
0.119099095,-0.2328306,-0.209743,-2.498802,0.59064955,-0.59767926,-1.7332304,1.3407102,0.11929703,0.6663885,2.2801237,1.2993748
-0.13410084,0.008271482,0.11391035,1.2807448,-0.42137447,-2.7898548,1.085953,-0.17865825,-1.0474463,-8.907195,0.09241682,-1.6009696
-0.30094713,-0.03482132,-0.003651999,3.087878,-0.024657387,-0.4534804,0.53422046,2.545393,-3.052092,-3.0778322,2.5853872,0.13639021
0.17509545,0.042970866,-0.31331113,2.4029493,0.834349,-2.7214901,-0.51423836,2.0768285,0.06991005,0.48276138,-0.063210756,-0.9328747
-0.38350576,-0.0155921355,0.10991922,-0.06594052,0.00666151,-2.8061097,0.38373566,3.717491,0.7130647,0.061620712,1.8829778,-3.1720238
0.34189728,-9.564683e-06,-0.012245556,-0.7700075,-1.0356152,1.6074597,-0.37805748,-0.2798258,-3.9263494,0.094818115,3.0096698,-3.7414558
0.0034151971,0.08703718,-0.058193833,1.5147676,0.77657944,-2.7599692,-0.1371839,0.9768181,-1.9508028,-7.1890917,2.2553835,-1.9379681
-0.24671651,0.06514279,-0.32103986,-3.068616,-0.50193995,-2.0343835,0.31687737,2.8300345,0.3157487,-2.6893349,-0.5029961,-2.188952
-0.26686454,-0.027956877,-0.18456744,-1.6422808,0.68635714,0.58691794,0.6527648,2.015244,-3.5353808,-7.8278723,3.3717346,3.6970189
0.096483596,-0.1967448,-0.4030925,3.0539305,-0.040763468,-2.6891172,-1.7143261,0.7480421,-3.9794943,-4.8096385,-0.027956247,-2.7348604
-0.099585615,0.24182302,-0.0023589171,-0.3172117,-0.6906638,2.4691827,-0.7503073,1.8526297,-2.5814419,-1.5019073,0.26211363,4.7364635
-0.109291844,0.20154019,-0.03517637,-1.296054,-0.8422178,0.4844166,1.1234419,-0.8781984,-2.167881,-4.468252,1.7763721,1.7536972
-0.2825633,0.046008453,-0.097024865,-0.094637744,-0.97042066,2.292758,0.38226366,1.6045561,-2.7832677,-2.1521902,-0.44180608,-1.9397625
0.12798731,-0.034280837,-0.22573146,2.8523,-0.15736449,3.037613,-1.244382,0.10087395,-2.4277604,-9.146969,1.0565833,1.6494739
-0.025848098,-0.31350797,-0.23028508,2.3400033,0.70760393,-0.21558867,-2.2595477,1.2988253,0.3156953,-5.268592,1.5393125,0.31418443
-0.2963262,0.17031571,-0.08229083,-0.29369915,1.0213597,1.8451117,-0.09869337,3.187752,0.9113903,-1.2764063,3.3891249,0.37625766
-0.23794505,-0.22293083,0.2172409,0.57755363,-0.200575,2.3728492,-2.884272,0.13670886,0.2257328,-4.7474627,0.48589396,-2.7124076
-0.09520997,-0.10831219,0.00723562,-0.5426,-0.35927156,1.2919962,-2.9792519,-0.88019204,-2.049338,-1.7452269,2.568666,-3.5941586
-0.055255968,0.08273204,-0.07139604,1.7451869,-0.04704393,1.1936607,0.967757,-0.7111385,-2.0714095,-6.906207,1.0969263,-0.17570901
-0.017339615,-0.16982788,-0.086251065,2.6190526,0.33263132,-2.356068,-2.8818135,-0.9336022,-1.9299977,-4.6424193,0.5717417,2.3746655
-0.15875743,-0.17654444,-0.23604861,-0.23697332,1.0110103,0.13170399,-2.8886678,1.2543817,0.73678017,-6.919297,3.2959733,2.3099296
0.09569956,-0.10260888,0.043103017,-2.305401,1.1912605,-2.9171402,-2.894748,3.1791146,-1.82423,-7.1276827,3.0885372,-2.8983684
0.2837054,0.03544844,-0.05044619,-0.8800954,-1.0930287,-1.7509569,-0.33930588,0.8643644,0.31122065,-3.2020717,2.447966,2.2698972
