x,y,z,R,P,Y,t1,t2,t3,t4,t5,t6,t7
0.0017687604,-0.09260693,0.23886856,2.4923048,-0.6842002,-1.5040555,-0.05709231,0.61693275,-0.41634285,-0.3879875,-0.89028335,0.8702305,-0.5857705
-0.06973007,-0.14295956,0.3839346,-0.010740708,-0.28902316,2.849385,0.44581163,-0.40708888,1.0559357,-0.25749105,-1.1106427,0.35067463,-0.7237313
-0.092460044,0.25406513,0.08454838,2.6534789,0.66877925,1.9489722,-1.0968193,-0.026060462,-0.7407491,-1.1818382,-0.692827,0.412828,0.32634985
-0.076294556,-0.16194153,0.19165519,-2.7565424,0.46320108,-0.3663021,-0.06736934,0.6272085,-0.70603275,-0.73599374,-0.026942968,0.4328291,-0.098885775
0.037118427,-0.16178122,0.31424785,3.1365135,-0.41038865,-0.12032403,0.3199985,-0.27249157,0.149091,-0.15987444,-0.14498782,0.23075692,-0.118228436
-0.14197728,-0.060482822,0.56314486,1.7319428,-0.9919538,-1.5927576,0.26465797,0.6246798,1.1519855,-1.1730531,-0.36175174,1.2193992,-0.17225903
-0.13795373,-0.015151747,0.24960238,2.03205,0.68197817,1.2264408,-0.2577567,-0.57732546,-0.97635806,-0.5610337,0.016092062,0.60111046,0.2282058
-0.12060684,0.36219054,0.31118846,1.2192891,0.36334664,0.93360853,-0.6830833,-0.21696854,-0.25390738,-1.174565,0.9891366,1.0896577,1.0818933
-0.09873648,-0.18315361,0.57719266,2.5215933,-0.70257396,-0.3437562,0.4915291,0.42015266,0.84683,-1.0034895,-0.52153015,0.33930138,0.3182534
-0.19251233,-0.01865457,0.36601034,3.0085871,0.9243785,0.516191,-0.25527853,-0.20176262,-0.15802932,-0.67214173,-0.4157365,0.81267864,1.0318264
0.10209412,-0.03906893,0.31152692,-2.1902726,-0.42229962,-0.6362413,-0.49994522,0.31496906,0.610505,-0.08575976,-0.3255384,1.4867984,0.697899
-0.19552179,-0.031340376,0.4894774,-2.8398561,-0.7256427,0.2997448,-0.4291857,0.52511954,0.6950947,-0.9973719,-0.37543523,0.8468783,0.16952443
-0.25600713,-0.20178509,0.35833398,-2.9059038,0.85225576,-0.54286885,0.6506269,0.12139213,-0.09693742,-1.1136591,0.3264935,0.7393512,0.5267168
0.12680735,-0.15296233,0.39321217,-2.884954,0.05686838,-1.3624861,1.1286935,0.45512974,0.14091814,-0.5988386,-0.083975196,0.37320206,0.47822952
-0.116306275,-0.059044518,0.24733913,-1.8074905,-0.6712976,1.1118587,-0.8818499,-0.35189122,0.50904155,-0.103425264,-0.1373434,0.60531676,-0.7983793
0.0025652945,-0.051299572,0.2818669,3.1083236,-0.5859656,-0.3288535,-0.77464676,-0.15041035,0.6581131,-0.20041847,0.4732343,1.3820801,-0.41574246
0.061314605,-0.14737256,0.31256908,-3.0835586,0.13724682,-0.23807883,-0.2754879,0.16439342,0.83740973,-0.058226228,0.6676767,0.3917137,0.3196056
-0.011395037,-0.18216793,0.29085743,2.7674127,0.42153084,0.5715971,-0.53901005,0.24063861,-0.78589326,-0.2760169,0.8834199,0.29647148,-1.1012423
0.059529044,0.066885754,0.29317123,-3.0390902,0.16056003,-2.3548517,0.8740963,0.29098463,0.8708955,-0.07288277,1.0471934,1.2279801,-0.04751849
-0.11288458,-0.131651,0.58725375,-0.43120664,-0.9364356,-3.0189388,0.50042903,0.01593548,1.139609,-0.79846907,-0.7126746,0.18124388,-0.55918187
-0.13498262,-0.056832172,0.3485639,-2.760166,0.5557425,1.1420429,-0.62172705,-0.5601777,0.21338737,-0.35971457,-1.1048297,0.748382,1.0675417
-0.090544716,-0.040991273,0.28732157,-1.2154907,-0.77871996,1.1571914,-0.9356962,0.13244408,0.8733307,-0.22560167,-0.7138495,0.8164935,-0.310279
0.015165824,-0.0289477,0.4396164,0.60164046,1.1550292,1.3299911,-0.07162809,-0.08698779,-1.0807298,-0.04224789,0.85059965,1.2255498,-0.05324602
-0.20675316,-0.15369582,0.2610157,-2.947475,-0.53369504,0.482175,0.7698153,-0.6273192,0.014559865,-0.6677966,0.43880284,0.12485175,-0.98516965
-0.35806745,0.15041268,0.25890523,-1.1952797,-0.8157711,1.3373266,-0.18053746,-0.008167207,-0.045153737,-1.083022,-0.9200221,0.60100037,-1.0747427
-0.13959864,0.01634872,0.32775068,-2.4090922,0.06508014,1.42862,-1.053813,-0.58715653,0.6018826,-0.28673768,-0.09378719,0.47893068,-0.043614984
0.07607569,0.027569056,0.3940813,-2.420937,-0.75112265,-1.8556117,0.45724046,0.63454556,0.1790098,-0.20573735,-0.14427543,1.4422151,1.036023
-0.27155426,0.07324472,0.061655797,-2.432685,-0.25168177,0.36894226,0.0703181,-0.051784396,-0.6167561,-1.206062,-0.43578327,0.57488054,-0.70312905
0.118650824,-0.049709883,0.47563335,3.1153839,-0.11911002,-1.0707731,0.83079517,0.18398082,1.1513187,-0.47383064,0.01607287,0.5783856,1.0546945
-0.1912716,-0.028233275,0.3601773,2.766755,0.71855134,0.53173953,-0.13644934,-0.24961403,-0.15406859,-0.6437262,0.00965786,0.6390275,0.6328739
-0.07212043,-0.019839384,0.11938445,-3.0759752,-0.20481986,-0.85551536,0.90126,-0.6045303,-0.9162476,-0.8248394,-0.6353202,1.1069525,-0.6849456
-0.21996075,-0.15836146,0.33936292,-2.6967118,-0.04088822,-0.560767,0.86408126,-0.13879776,-0.018198848,-1.1236807,-0.45569783,1.0517344,0.43463933
0.13015626,-0.14203894,0.43478924,2.3010259,-0.42083716,-0.8990752,1.03416,0.21813917,0.5949931,-0.5005493,-0.8811065,0.019531174,0.5270394
-0.06413634,-0.082179375,0.40699375,2.6872733,1.0322644,0.44701013,-0.7103915,-0.46082196,0.23602831,-0.14380085,0.2864809,1.0860348,1.0959133
-0.114283845,0.03872818,0.2336281,1.6559566,0.54170465,0.77338105,-0.3904125,0.11575526,-0.8561045,-0.81162953,0.9604238,1.3328063,-0.16880137
-0.15673599,-0.25938344,0.31540072,-2.8173654,-0.2939004,-0.19046824,0.24132895,0.6340171,-0.07617223,-0.9874977,-0.8725503,0.4298676,0.53600705
-0.10796803,0.050398752,0.24658912,2.6310415,-0.5175705,0.3610484,-0.5345425,-0.19969612,-0.37207693,-0.7660064,0.50550187,1.3525622,-0.81526625
-0.09786905,-0.15147287,0.33131766,-2.8590603,1.3871199,-0.29490432,0.1992501,-0.12390542,-0.6036297,-0.40465575,0.04969549,0.3911436,0.7449446
-0.07320355,-0.06597257,0.16899045,-2.5521142,0.8935871,-0.67807424,0.37958956,-0.14473885,-1.0656586,-0.8193603,-0.20786202,0.88905877,0.09169006
-0.034608163,-0.114148244,0.30580494,-3.0353851,-0.37659362,0.1703122,-0.94854885,0.26162708,0.3319708,-0.20592415,0.18678677,0.73125714,-0.24056983
-0.119760826,0.0010507703,0.34514356,2.4096513,-0.3315082,0.88354653,-0.9440352,-0.19259751,-0.11776817,-0.46012062,1.0057029,0.80821335,-0.5005501
-0.02577426,-0.05634225,0.28639254,2.076487,-0.8245625,-1.8749169,0.7154757,-0.5361291,0.6474836,-0.317644,-0.1529454,1.270521,-0.646103
-0.12027885,0.044672273,0.30931932,2.198762,0.028219422,1.2334466,-0.9450699,-0.46217054,-0.64084,-0.4625973,0.2671255,0.6829052,0.05946803
0.03059639,-0.069138244,0.26111212,2.8604884,0.019552972,-0.6927097,-0.5626942,0.54809904,-0.94515914,-0.36148018,-0.46613514,1.0696627,-0.64835864
-0.30038992,0.16754326,0.49885833,1.9386754,0.5117473,0.85880136,-0.7602858,0.443017,0.27646983,-1.1077831,0.6658591,0.57606846,0.87614834
-0.009190854,-0.14139065,0.3441454,1.0139765,-0.991831,-2.5371342,1.1357194,-0.31223047,0.6237354,-0.45073456,-1.1229211,0.72658545,-0.1919514
-0.1792042,0.11995724,0.14048886,-0.27258474,1.2976054,-2.3492842,-0.13004076,-0.32981744,-0.8375347,-1.1927792,-0.8448862,1.334709,1.1265379
-0.19184363,0.00043214113,0.32821953,2.7133024,-0.095949404,1.3182375,-0.36974037,-0.6676697,0.078264594,-0.45944548,0.99662507,0.19413678,-0.515496
0.014632463,-0.028824165,0.23410183,2.9867098,0.77950865,-1.3334016,0.45300877,0.4768858,-0.86350787,-0.60240173,0.22842646,1.4725873,-0.77822065
0.029094495,-0.19665939,0.24226683,3.0037384,0.51851815,-0.50295967,0.7308011,0.35944033,-0.423104,-0.74697393,1.1350161,0.6520368,-1.050718
-0.09226634,-0.011094522,0.50572824,2.7988427,-0.8910423,-1.0733703,-0.07069528,0.66604304,1.0415684,-0.9751406,-0.18006098,1.4586483,0.25533175
-0.14321315,-0.14554466,0.37908715,-0.6364361,-0.97134167,2.4979358,-0.21602833,0.22053987,0.4891261,-0.40358353,-1.0285116,0.10898395,-0.5582908
0.0010971352,-0.16483468,0.59514356,2.7200398,0.43623614,-0.56905353,0.71364653,0.3937528,0.93090594,-0.7851441,0.41603303,0.050148115,0.5010004
0.048107654,-0.063119285,0.44226566,-3.08619,-0.22085705,-1.459348,0.85884106,0.20604753,0.75011325,-0.5542777,0.115912914,1.0072505,0.6506994
-0.21723467,-0.08521041,0.13460904,2.4143703,-0.9676146,-1.5179002,0.9528979,-0.44010526,-0.45933753,-0.9198121,-0.80781364,1.0058992,-1.0860907
-0.18594429,-0.23165119,0.17702287,-1.7671793,0.6864905,-1.2662767,0.5128567,0.5604769,-0.67465496,-1.190502,0.00024676323,0.9044669,0.76221955
-0.13672847,-0.12007278,0.111330815,-2.816442,0.888429,-0.45809186,0.22750151,0.60053194,-0.91026056,-1.1195002,0.5922103,0.8876789,-0.3184262
9.726733e-06,-0.18387276,0.26517668,-3.0710764,-0.3588894,0.3337781,-0.23675102,-0.144369,0.34503758,-0.052381277,0.59895015,0.12208438,-0.6128469
-0.0049430504,-0.116298676,0.4168996,-3.0606878,0.08395579,-0.2799185,-0.27904254,0.24396604,0.76637566,-0.38317823,0.28514206,0.6707179,0.61127996
0.027248349,-0.12306395,0.44538042,-1.6927329,1.1427379,-1.87604,-0.29653627,0.43758523,-1.0557743,-0.043766975,-0.07853305,0.55475813,0.60249674
-0.04012096,-0.17044626,0.16917887,3.069891,-0.19335759,-1.0361254,0.967548,0.09016603,-0.535586,-0.8391286,-0.13429832,0.74430364,-0.59986717
-0.21559033,-0.11218077,0.17626697,-1.8220274,1.0070931,-1.3618419,0.39808524,0.2400974,-0.77205586,-1.1114501,0.074599266,1.0526385,0.6302564
-0.19513068,0.10445438,0.15940903,2.2948797,0.055116866,1.7633777,-1.1189722,0.2007246,-0.6532322,-0.8668287,1.072487,0.3017246,-0.70276654
-0.14377435,-0.07293093,0.56051075,-2.9182923,-1.386223,0.5467002,0.41002178,-0.20971969,1.0686964,-0.928823,-0.20015472,0.51651955,-0.2072177
-0.23561022,0.059565723,0.207035,2.7107997,-0.13558267,0.80406237,-0.5366756,0.20642865,-0.4253031,-1.0459809,0.78876555,0.8739519,-0.7713125
-0.15696967,-0.11568587,0.4502874,-1.3508973,-0.9106696,2.036554,-0.6287762,0.45524454,0.7861695,-0.5606542,-1.0357127,0.098821744,0.022686005
-0.029688133,-0.12162092,0.4155326,2.9857974,-1.3635004,-0.37211117,0.54825485,-0.19592625,1.0237244,-0.5635648,-0.5595243,0.683418,0.15038586
0.11910855,0.025551379,0.22889002,2.1214557,0.3278744,-1.9505008,0.7083161,0.62797606,0.7523402,-0.0813303,0.46821988,0.79315305,-0.80497825
-0.09926918,-0.12883817,0.43316314,-2.868595,0.7437365,-0.81434536,0.90631616,-0.4637556,0.22510278,-0.63089144,0.46911395,0.767497,0.6220826
-0.19356248,-0.023088299,0.1614904,-2.7799044,0.88072884,-0.85676825,1.1195096,-0.5565311,-0.8122113,-1.1747535,0.24358177,1.3944576,0.0063107014
-0.1681133,-0.052967995,0.54584324,2.9607518,0.1761208,-0.8219325,1.1363894,-0.54460406,0.68290913,-1.0781709,0.38751435,1.1375573,0.52465403
-0.0587006,-0.114945106,0.28304157,0.23891555,-0.58992493,2.6807542,-0.2057268,0.06595349,1.0688616,-0.0835886,-0.9045827,0.5928954,-0.68013966
0.10481146,-0.15758142,0.40728316,2.2730095,-0.7621117,-0.8407464,1.0473617,-0.07765573,0.5868124,-0.45226985,-1.1159296,0.06688273,0.5775956
-0.122759596,0.104214214,0.28389668,3.0700238,-0.39358985,1.4282899,-0.76512593,-0.6179772,-0.21305072,-0.6521257,0.5960958,0.77365434,-0.66544366
0.06656358,-0.07504616,0.23417841,-2.5202358,0.094575785,-1.592981,1.1557761,0.14928705,-0.8846339,-0.6032434,-0.1610772,0.8253089,-0.12977183
-0.10748479,-0.16791986,0.15097752,-3.1400242,0.5000745,0.2646628,0.71862817,-0.29588872,-0.656694,-0.8135191,0.95935047,0.33468676,-0.9734516
-0.00484024,-0.029307507,0.34195757,-2.252303,-0.08196139,0.074190125,-0.36047632,-0.5807492,0.73809993,-0.34377974,-0.25975466,1.4549451,0.35059905
-0.11295229,-0.06724022,0.37613365,2.7431302,-0.069038816,0.42937285,-0.0764724,-0.55654496,0.34983623,-0.4414881,0.79253376,0.6120718,-0.20117015
-0.25711727,-0.07013658,0.20409892,-2.6463535,-0.26228696,0.8483429,0.047265768,-0.16750383,-0.21998137,-0.7113641,0.18053997,-0.0018780143,-0.88632804
0.12817495,-0.12318335,0.36385688,-2.9333434,0.18535978,-0.6498525,0.57962537,0.039361477,-1.0483186,-0.0910027,-0.7016734,0.06849934,-0.07675302
0.07622105,-0.16136786,0.5178643,0.23330215,-0.30700946,-1.9679538,1.0397536,0.41632593,1.1007067,-0.57188576,-0.7481177,0.32675254,-1.0499121
-0.115823194,0.11184639,0.21524936,2.1729283,-0.15608206,1.8667821,-1.0615823,-0.61948025,-0.892413,-0.59099454,0.12601686,0.3552932,-0.022209644
0.14717393,-0.031228356,0.287853,2.6447697,-0.40834302,-1.3598719,0.7580756,0.16766268,0.84010553,-0.1079849,0.04736328,0.4587785,0.1734165
0.03957606,-0.12710178,0.4105858,-1.4272496,1.0943164,-2.1007166,-0.36080474,0.4961835,-0.3153153,-0.050774217,0.58314943,0.5429579,0.814728
-0.09000757,-0.031803887,0.2496262,2.219325,-0.67013603,-0.9950827,-0.6083801,0.41470623,-0.07034516,-0.5490246,0.06388378,1.4704694,-1.1230354
0.15263078,-0.06451985,0.37078226,-2.52101,-0.043372504,-1.3804823,0.8979124,0.48868454,-0.3005802,-0.30665898,-0.46635056,0.3490299,0.7448877
0.12289046,0.0077904537,0.31275535,2.5255175,0.5913919,-1.1887399,0.04454887,0.36254478,0.043121696,-0.09195495,0.75968826,1.3217951,-0.7025306
-0.22927946,-0.122189395,0.3360259,-2.8973274,-1.4069084,0.018280705,-0.31537193,0.61981606,0.2730739,-0.78885484,-0.5325215,0.62132573,-0.6883576
-0.06850939,-0.058045454,0.37533024,-2.965322,0.5723918,-0.30742088,-0.0572747,-0.28618497,-0.062502384,-0.446572,-0.04745555,1.0465106,0.56815934
0.010013286,-0.0054244995,0.4213035,-1.9455258,0.2404183,-2.6235552,0.12582052,0.6783112,-1.0551573,-0.11021721,-0.00081813335,1.4777197,0.48367035
-0.17246771,-0.09264553,0.2517995,3.0865033,-0.9526353,-0.23617437,0.41867077,-0.34602925,-0.0554173,-0.6654868,-0.21096313,0.7335641,-0.845064
-0.19722375,-0.056804016,0.6268637,2.531467,-0.9263851,0.41981822,-0.42998713,0.52040017,1.0796982,-1.0585331,1.0917019,0.12760861,-0.83419025
-0.07683674,0.035498735,0.37471086,-3.1038105,-0.25391787,-0.48637348,-0.88688433,0.5175097,0.3823266,-0.64805144,0.13677275,1.4954147,0.034222484
-0.046541512,-0.05419509,0.44956312,1.8619399,-0.114109375,-1.1380658,-0.14507473,0.4414581,1.0060357,-0.76059973,1.1337196,1.3027483,-0.6874913
-0.1817383,-0.008531377,0.22555879,-1.0740441,1.2747966,-2.1470902,0.31671083,-0.45248225,-0.85267115,-0.8556005,-0.2353484,1.1973375,1.0012139
-0.09025302,-0.101461306,0.24365664,-1.5282161,0.80004895,-2.2523534,0.2428006,0.59002316,-0.90323806,-0.75337297,0.46245205,1.2854573,0.42182124
-0.1283049,-0.05263205,0.4529137,-1.6896684,-0.4769926,1.5515654,-0.559215,-0.06869656,1.1033844,-0.6113304,-0.8772855,0.5251555,0.38350546
0.055323135,0.013870135,0.34423432,-3.0170932,0.6987201,-1.6910907,0.65973806,-0.38169244,0.35534,-0.1463418,1.0562168,1.4705775,0.042681217
-0.0060445517,-0.10120851,0.24672142,2.0969644,-0.20031665,-1.7944692,0.37861586,0.43738902,-0.08406341,-0.45156443,-0.38069105,1.154016,-0.9387228
-0.08839679,0.11724415,0.06512794,2.3466582,0.19222349,1.8780006,-0.98881435,-0.17830217,-1.0036082,-0.99914205,0.43066037,0.46961534,-0.49861413
0.028684132,-0.12836139,0.31399977,-3.0893862,-0.22034557,-0.28353134,0.3140453,-0.44643703,-0.35597616,-0.19700527,-0.44758707,0.59464204,-0.15457463
-0.118840486,-0.13349974,0.37814057,-2.8299701,-0.956599,0.44583422,0.17144477,-0.2544296,0.61449254,-0.47927886,-0.15920967,0.31115806,-0.23201257
-0.084601164,-0.039847754,0.3601263,-2.5755334,0.34470868,-1.1467345,0.070731044,0.14289069,-0.17381698,-0.6029153,-0.088635325,1.4192827,0.5463381
-0.20196256,-0.028150871,0.44935706,-1.5866364,-0.52485704,1.7488335,0.18291843,-0.6822896,0.7064713,-0.6477629,-1.0954213,0.21803255,0.12829387
-0.16480081,0.04917617,0.5405575,-2.801957,-0.83702576,-0.06595572,-0.068202734,0.3426894,0.9336213,-1.2216009,-0.40752923,1.4313614,0.25878775
-0.2327411,-0.042945847,0.5534945,2.9784794,-0.06663254,0.6411655,0.37413466,-0.3936553,0.56570184,-0.9630943,-0.4833114,0.3712376,0.9546083
0.010262117,-0.10743184,0.119629174,-1.8916777,-0.28925157,-1.0885063,1.0587705,0.1517092,-1.115123,-0.92394316,-0.9307222,0.80146646,0.59236324
0.010385588,0.124052316,0.10127151,-2.825292,1.1390449,0.09501681,-1.1159017,0.15258461,-1.0747948,-1.1622233,-1.0172689,1.3513625,0.1902318
-0.11866848,-0.12373686,0.35027775,-2.8927484,-0.15116817,0.7843186,-0.9647508,0.30887783,0.12078416,-0.2749185,-0.48003972,0.1852572,0.31166553
